h,POROSITY,K,k/uob,Sw,T,API,PI,Bo,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,OO/Pcsic,REC
13.0,0.150,68.00,22.67,0.370,80.0,37.0,750.0,750.0,250.0,3.00,3.00,3.00,3.80,0.941,190.0,190.0,100.0,1.090,1.090,1.050,688,672.60 ,129
15.5,0.153,68.00,22.67,0.252,82.0,37.0,7230.0,750.0,300.0,2.50,0.52,0.52,3.70,0.267,196.0,196.0,125.0,1.487,1.487,1.060,472,686.05 ,141
28.0,0.128,79.00,225.71,0.276,225.0,40.0,4700.0,2692.0,1000.0,2.69,0.40,0.40,0.55,0.346,859.0,859.0,400.0,1.090,1.090,1.350,678,471.61 ,165
15.0,0.115,20.60,58.86,0.175,186.0,36.0,3755.0,500.0,300.0,1.67,1.12,1.12,0.60,0.416,100.0,100.0,50.0,1.274,1.274,1.020,1540,669.13 ,613
110.6,0.305,650.00,580.36,0.170,174.0,29.0,3620.0,3755.0,1000.0,3.76,1.50,1.50,2.13,0.422,570.0,570.0,155.0,1.272,1.272,1.123,1464,1541.55 ,908
25.0,0.320,300.00,200.00,0.250,172.0,27.0,9030.0,4808.0,2000.0,1.81,0.10,0.10,2.10,0.243,500.0,500.0,300.0,2.401,2.401,1.145,469,409.62 ,214
17.4,0.220,10.00,142.66,0.340,270.0,49.0,1259.0,518.0,4808.0,1.00,1.73,1.73,0.07,0.363,2741.0,2741.0,2741.0,1.096,1.096,2.750,1067,1061.50 ,250
9.6,0.196,269.00,165.00,0.230,178.0,34.0,1556.0,1556.0,45.0,11.51,0.82,0.82,2.03,0.600,92.0,92.0,18.0,1.216,1.216,1.071,1395,1384.45 ,460
4.5,0.310,1070.00,1304.88,0.300,135.0,40.0,1470.0,1470.0,125.0,12.45,0.76,0.76,1.62,0.600,446.0,446.0,117.0,1.224,1.224,1.070,1300,1300.61 ,437
17.0,0.270,250.00,328.00,0.240,135.0,41.0,4904.0,3771.0,100.0,14.70,0.24,0.24,1.85,0.304,450.0,450.0,220.0,1.820,1.820,1.080,380,380.02 ,190
14.0,0.228,91.00,364.00,0.600,251.0,41.0,3145.0,635.0,800.0,4.71,3.27,3.27,0.40,0.359,1335.0,1335.0,29.0,1.116,1.116,1.270,1401,1245.73 ,77
28.0,0.224,300.00,110.70,0.200,206.0,26.8,1815.0,1815.0,133.0,4.77,1.27,1.27,3.67,0.350,103.0,103.0,359.0,1.166,1.166,1.083,1140,1204.62 ,98
26.0,0.213,200.00,181.82,0.150,210.0,32.8,3115.0,3123.0,1600.0,1.13,0.54,0.54,1.16,0.318,353.0,353.0,172.0,1.565,1.565,1.270,328,325.45 ,137
234.0,0.110,15.00,30.00,0.400,200.0,37.0,3925.0,1558.0,485.0,6.44,0.50,0.50,1.09,0.730,909.0,909.0,172.0,1.346,1.346,1.083,537,535.27 ,230
17.5,0.143,21.50,44.79,0.350,131.0,40.0,1720.0,1480.0,50.0,31.16,0.55,0.55,1.20,0.792,550.0,550.0,100.0,1.372,1.372,1.225,854,553.27 ,127
13.1,0.136,57.00,103.64,0.280,122.0,39.9,1480.0,1915.0,50.0,29.60,0.58,0.58,1.20,0.710,635.0,635.0,100.0,1.450,1.450,1.222,715,719.09 ,96
19.0,0.192,417.00,718.07,0.300,134.0,40.0,1915.0,1400.0,50.0,38.30,1.17,1.17,1.50,0.859,810.0,810.0,90.0,1.295,1.295,1.163,517,520.21 ,137
19.0,0.125,15.00,12.93,0.308,118.0,42.0,1673.0,1501.0,100.0,14.00,0.70,0.70,1.44,0.617,533.0,533.0,135.0,1.272,1.272,1.120,440,369.32 ,230
10.0,0.085,3.00,3.19,0.287,135.0,40.0,3300.0,2830.0,100.0,15.01,0.44,0.44,1.30,0.723,453.0,453.0,410.0,1.656,1.656,1.160,601,580.23 ,127
70.0,0.172,2.20,42.50,0.276,122.0,44.8,4011.0,1733.0,510.0,5.55,0.46,0.46,0.82,0.460,1270.0,1270.0,400.0,1.495,1.495,1.060,386,374.32 ,96
46.0,0.120,17.00,48.78,0.360,165.0,37.8,3925.0,2164.0,500.0,3.47,0.54,0.54,0.56,0.301,867.0,867.0,231.0,1.405,1.405,1.090,579,561.79 ,100
40.0,0.140,20.00,105.65,0.250,229.0,35.0,1230.0,1230.0,480.0,4.51,1.60,1.60,0.87,0.591,631.0,631.0,35.0,1.180,1.180,1.276,1175,1196.57 ,82
50.0,0.280,90.00,56.88,0.350,135.0,28.0,1285.0,1285.0,50.0,24.60,3.08,3.08,3.18,0.502,298.0,298.0,29.0,1.123,1.123,1.328,1480,1512.91 ,100
420.0,0.300,91.00,62.66,0.270,144.0,43.0,2855.0,2855.0,140.0,9.18,0.29,0.29,5.10,0.335,213.0,213.0,200.0,1.500,1.500,1.255,497,686.05 ,410
16.0,0.200,193.00,86.21,0.520,202.0,30.0,3640.0,3640.0,500.0,5.71,1.17,1.17,0.53,0.361,825.0,825.0,110.0,1.240,1.240,1.075,700,496.51 ,250
26.0,0.190,25.00,63.25,0.390,200.0,39.0,3640.0,1605.0,800.0,4.55,0.80,0.80,2.00,0.643,460.0,460.0,135.0,1.343,1.343,1.059,740,725.12 ,115
17.0,0.164,74.00,5.11,0.220,124.0,34.0,1935.0,1100.0,100.0,16.05,1.60,1.60,1.76,0.864,565.0,565.0,40.0,1.173,1.173,1.210,474,470.51 ,113
130.0,0.093,4.60,6.09,0.177,94.0,42.0,1800.0,1383.0,100.0,11.00,0.78,0.78,2.70,1.060,360.0,360.0,300.0,1.260,1.260,1.150,790,779.34 ,91
28.0,0.233,10.00,63.64,0.449,83.0,30.7,1412.0,1490.0,350.0,3.95,1.65,1.65,1.30,0.814,575.0,575.0,75.0,1.210,1.210,1.167,942,871.97 ,33
14.0,0.148,60.00,153.33,0.350,200.0,40.0,1490.0,500.0,100.0,14.90,1.00,1.00,6.50,0.312,400.0,400.0,50.0,1.250,1.250,1.050,600,583.06 ,94
24.0,0.230,138.00,226.40,0.250,166.0,39.0,1300.0,251.0,50.0,10.00,1.36,1.36,1.30,0.401,300.0,300.0,31.0,1.057,1.057,1.150,869,1240.54 ,212
10.0,0.180,283.00,178.57,0.290,200.0,27.5,1328.0,689.0,100.0,2.51,0.89,0.89,1.31,0.318,44.0,44.0,95.0,1.270,1.270,1.167,876,775.80 ,120
182.0,0.178,150.00,30.35,0.195,110.0,27.0,1190.0,1190.0,100.0,6.89,5.70,5.70,1.04,0.825,258.0,258.0,12.0,1.115,1.115,1.143,942,953.64 ,200
70.0,0.159,173.00,4.04,0.172,137.0,33.0,1460.0,1383.0,50.0,23.80,11.05,11.05,16.20,0.638,210.0,210.0,23.0,1.100,1.100,1.072,903,901.89 ,180
26.0,0.142,43.80,100.78,0.150,174.0,38.0,2082.0,775.0,100.0,13.83,1.29,1.29,12.35,0.374,216.0,216.0,80.0,1.171,1.171,1.150,780,770.40 ,100
35.0,0.138,130.00,13.26,0.365,122.0,36.0,1670.0,1670.0,70.0,11.07,0.85,0.85,2.30,0.595,212.0,212.0,100.0,1.230,1.230,1.065,576,565.77 ,133
28.0,0.154,12.60,8.96,0.213,160.0,36.0,2113.0,2113.0,100.0,16.70,2.10,2.10,3.00,0.430,450.0,450.0,50.0,1.186,1.186,1.180,641,639.68 ,40
64.5,0.200,21.50,65.00,0.300,112.0,37.0,750.0,750.0,200.0,10.57,1.00,1.00,4.70,0.672,430.0,430.0,16.0,1.210,1.210,1.020,1008,1009.18 ,321
80.0,0.150,65.00,22.14,0.308,110.0,39.0,600.0,600.0,10.0,75.00,1.40,1.40,3.50,0.677,330.0,330.0,30.0,1.140,1.140,1.030,714,714.55 ,184
12.0,0.180,31.00,77.78,0.450,170.0,43.0,2082.0,1085.0,20.0,30.00,0.45,0.45,2.30,0.401,240.0,240.0,300.0,1.537,1.537,1.040,507,499.05 ,86
10.0,0.175,24.00,63.16,0.400,170.0,40.0,2000.0,1550.0,300.0,6.65,0.39,0.39,0.90,0.400,710.0,710.0,320.0,1.470,1.470,1.275,532,546.70 ,125
8.0,0.290,249.00,383.08,0.200,227.0,35.0,4804.0,3665.0,300.0,5.17,0.72,0.72,0.53,0.301,690.0,690.0,165.0,1.325,1.325,1.300,1400,1379.71 ,270
17.0,0.220,326.00,857.89,0.200,226.0,40.5,5896.0,2000.0,1000.0,3.67,0.45,0.45,1.09,0.303,575.0,575.0,575.0,1.350,1.350,1.152,1015,961.55 ,334
9.1,0.145,160.00,177.78,0.245,127.0,40.2,2254.0,1732.0,2700.0,0.74,1.00,1.00,0.40,0.756,685.0,685.0,32.0,1.347,1.347,1.400,839,626.79 ,189
16.0,0.300,175.00,3.87,0.440,76.0,22.0,700.0,700.0,50.0,34.64,45.70,45.70,46.50,1.121,78.0,78.0,54.0,1.038,1.038,1.043,1250,1255.63 ,137
8.0,0.108,30.00,32.61,0.100,150.0,30.0,3885.0,1869.0,400.0,1.75,1.06,1.06,1.54,0.464,498.0,498.0,175.0,1.263,1.263,1.032,600,587.29 ,36
45.0,0.150,3.00,11.11,0.120,130.0,43.0,3155.0,3155.0,400.0,4.67,0.27,0.27,0.87,0.552,1249.0,1249.0,273.0,1.680,1.680,1.154,608,609.19 ,49
12.0,0.112,440.00,427.18,0.300,124.0,41.0,1120.0,1120.0,400.0,7.89,1.03,1.03,1.35,0.617,412.0,412.0,225.0,1.245,1.245,1.228,480,489.54 ,83
29.0,0.234,65.00,191.18,0.590,248.0,39.0,4837.0,2150.0,600.0,2.80,0.45,0.45,0.57,0.318,555.0,555.0,172.0,1.337,1.337,1.167,564,536.63 ,138
24.3,0.267,4.30,9.56,0.600,126.0,45.0,1510.0,1510.0,200.0,3.58,0.45,0.45,0.80,0.595,447.0,447.0,200.0,1.232,1.232,1.228,674,672.53 ,87
22.0,0.200,500.00,1250.00,0.230,220.0,33.0,8350.0,6000.0,2550.0,2.26,0.46,0.46,0.72,0.305,1155.0,1155.0,330.0,1.551,1.551,1.290,1117,1088.12 ,256
