h,POROSITY,K,SORT(k/POR),kUwi/Uoi,Sw,T,API,PI,Bp,Pep,PVPa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,BoJ,Bob,Boa,OOIP,REC,OOIPCALC
10.0000,0.3400,850.0000,50.0000,1983.3300,0.4000,98.0000,20.0000,550.0000,500.0000,100.0000,5.5000,15.0000,15.0000,35.0000,0.7860,225.0000,225.0000,50.0000,1.0800,1.0800,1.0200,1493.0000,300.0000,1493.0490
9.0000,0.2900,164.0000,23.7800,191.8500,0.3400,158.0000,29.0000,2325.0000,2325.0000,1000.0000,2.3300,1.0800,1.0600,1.2400,0.4570,340.0000,340.0000,149.0000,1.2100,1.2100,1.1400,1257.0000,500.0000,1227.1750
16.0000,0.3100,349.0000,33.5500,370.8100,0.4000,174.0000,42.0000,2658.0000,2658.0000,2300.0000,1.1800,0.8000,0.8000,0.8500,0.4040,500.0000,500.0000,450.0000,1.3500,1.3500,1.3000,1089.0000,375.0000,1088.8800
11.0000,0.3020,634.0000,45.8200,675.8000,0.3100,171.0000,32.0000,2687.0000,2667.0000,1900.0000,1.4000,0.9100,0.9100,0.9700,0.4100,578.0000,578.0000,405.0000,1.4000,1.4000,1.3100,1155.0000,760.0000,1154.7230
47.5000,0.3190,1000.0000,55.9900,1136.3600,0.3300,160.0000,24.7000,2364.0000,2364.0000,1650.0000,1.4300,1.3200,1.3200,1.5000,0.4040,325.0000,325.0000,325.0000,1.1600,1.1600,1.1280,1429.0000,840.0000,1429.4120
35.0000,0.3500,600.0000,41.4000,2100.0000,0.3000,85.0000,20.0000,500.0000,500.0000,70.0000,7.1400,10.0000,10.0000,35.0000,0.9100,600.0000,600.0000,100.0000,1.1200,1.1200,1.0500,1897.0000,696.0000,1697.0630
23.0000,0.2980,200.0000,25.9100,248.4800,0.3500,178.0000,40.5000,2705.0000,2795.0000,1900.0000,1.4700,0.3300,0.3300,0.4100,0.3900,676.0000,676.0000,469.0000,1.3950,1.3950,1.3110,1077.0000,700.0000,1077.2220
32.0000,0.2850,1000.0000,59.2300,1142.8600,0.3000,105.0000,26.0000,8500.0000,850.0000,100.0000,8.5000,17.5000,17.5000,21.0000,0.7270,200.0000,200.0000,50.0000,1.0700,1.0700,1.0100,1446.0000,670.0000,1446.4680
16.0000,0.3500,5000.0000,119.5200,5454.5500,0.3500,179.0000,42.0000,2709.0000,2680.0000,2000.0000,1.4000,44.0000,0.4500,0.4800,0.4060,737.0000,737.0000,517.0000,1.3910,1.3910,1.3180,1257.0000,733.0000,1251.0540
42.0000,0.1100,39.0000,18.8300,46.0900,0.2600,130.0000,460.0000,3020.0000,1678.0000,1000.0000,9.0200,0.3300,0.2800,0.3900,0.5950,1046.0000,1046.0000,750.0000,1.5910,1.5910,1.4800,395.0000,174.0000,396.9216
50.0000,0.2770,500.0000,42.4900,526.3200,0.2250,164.0000,33.0000,2021.0000,0.0000,200.0000,10.1100,3.8000,0.0000,4.0000,0.5020,100.0000,100.0000,0.0000,1.1500,1.1500,1.0500,1433.0000,884.0000,1448.2180
27.0000,0.2580,572.0000,47.2700,0.0000,0.2000,159.0000,45.0000,1875.0000,0.0000,1550.0000,1.0800,0.5500,0.0000,0.0000,0.4820,403.0000,403.0000,0.0000,170.0000,170.0000,0.0000,1315.0000,679.0000,1251.0540
31.0000,0.2320,285.0000,35.0500,293.6400,0.3000,220.0000,39.0000,2805.0000,2580.0000,2700.0000,1.0600,0.3300,0.3500,0.3400,0.3050,720.0000,720.0000,100.0000,1.4000,1.4000,1.1200,900.0000,302.0000,899.9211
16.0000,0.2790,440.0000,39.7100,593.4900,0.2500,222.0000,41.8000,4500.0000,2000.0000,700.0000,8.4300,0.4300,0.3400,0.5800,0.2860,500.0000,500.0000,95.0000,180.0000,180.0000,1.1300,1258.0000,561.0000,1268.2510
23.1000,0.3200,1458.0000,67.5000,1574.6400,0.3000,202.0000,35.0000,3788.0000,3788.0000,2900.0000,1.3100,50.0000,0.5000,0.5400,0.3200,785.0000,785.0000,200.0000,1.4600,1.4600,1.1700,1190.0000,857.0000,1190.2680
10.0000,0.3000,600.0000,44.7200,240.0000,0.3500,164.0000,40.0000,2493.0000,1200.0000,300.0000,8.3100,2.5000,1.1000,1.0000,0.5030,195.0000,195.0000,175.0000,1.1500,1.1500,1.0500,1440.0000,666.0000,1440.7710
20.0000,0.1300,12.0000,9.6100,9.2700,0.4300,188.0000,38.0000,3730.0000,380.0000,250.0000,14.9200,2.2000,1.8000,1.7000,0.3400,84.0000,84.0000,60.0000,1.0900,1.1200,1.0900,527.0000,150.0000,1440.7710
280.0000,0.2450,500.0000,45.1800,576.1900,0.4300,135.0000,26.0000,1753.0000,1753.0000,1100.0000,1.5900,4.2000,4.2000,4.8400,0.5440,354.0000,354.0000,258.0000,1.1870,1.1870,1.1520,913.0000,280.0000,912.7250
98.0000,0.3100,400.0000,35.9200,486.3800,0.1900,168.0000,32.0000,3515.0000,3515.0000,2000.0000,1.7600,0.6800,0.8800,1.0700,0.4320,571.0000,571.0000,315.0000,1.2800,1.2800,1.1800,1522.0000,648.0000,1521.9010
19.0000,0.3100,300.0000,31.1100,300.0000,0.2000,162.0000,30.0000,3300.0000,2743.0000,2800.0000,1.1800,1.4000,1.4000,1.4000,0.4660,417.0000,417.0000,417.0000,1.0000,1.0000,1.0000,1603.0000,1052.0000,1023.9840
42.0000,0.3300,300.0000,30.1500,380.6700,0.2200,168.0000,32.0000,3400.0000,3400.0000,2000.0000,1.7000,0.8900,0.8900,1.0700,0.4330,582.0000,582.0000,344.0000,1.2850,1.2850,1.1950,1548.0000,1109.0000,1554.0150
24.0000,0.3100,300.0000,31.1100,407.8900,0.2400,168.0000,24.0000,3721.0000,3721.0000,2000.0000,1.8600,2.2800,2.2800,3.1000,0.4530,410.0000,410.0000,235.0000,1.1930,1.1930,1.1310,1504.0000,780.0000,1532.0910
18.0000,0.3100,300.0000,31.1100,485.7100,0.2700,158.0000,27.0000,3334.0000,3334.0000,1400.0000,2.3800,2.1000,2.1000,3.4000,0.4810,0.0000,0.0000,0.0000,1.1900,1.1900,1.1100,1475.0000,823.0000,1475.3240
35.0000,0.3200,1000.0000,55.9000,1000.0000,0.1000,175.0000,37.0000,3550.0000,3550.0000,3400.0000,1.0400,0.6000,0.6000,0.8000,0.4890,700.0000,700.0000,670.0000,1.3300,1.3300,1.3300,1880.0000,1370.0000,1679.9280
23.0000,0.3101,300.0000,31.1100,350.0000,0.3100,1167.0000,29.0000,3849.0000,36490.0000,2000.0000,1.8200,1.2000,1.2000,1.4000,0.4740,819.0000,819.0000,411.0000,1.2400,1.2400,1.1410,1338.0000,803.0000,1338.2550
24.0000,0.3300,1000.0000,55.0500,1000.0000,0.1460,150.0000,42.0000,4300.0000,4300.0000,4300.0000,1.0000,0.1700,0.1700,0.1700,0.4150,1580.0000,1580.0000,1580.0000,1.8320,1.8320,1.8320,1202.0000,902.0000,1201.8120
389.0000,0.2490,2000.0000,89.7100,2133.3300,0.0700,246.0000,33.0000,8830.0000,6630.0000,6200.0000,1.0700,0.1500,0.1500,0.1600,0.3450,1320.0000,1320.0000,1140.0000,1.6310,1.6310,1.5500,1099.0000,723.0000,1099.2720
36.0000,0.3200,1000.0000,55.9000,1000.0000,0.1000,158.0000,91.0000,3100.0000,1700.0000,3100.0000,1.0000,0.5000,0.5000,0.5000,0.5040,230.0000,230.0000,230.0000,1.1400,1.1400,1.1410,1980.0000,1470.0000,1959.9160
94.0000,0.2850,500.0000,41.8900,500.0000,0.1000,205.0000,92.0000,5100.0000,3020.0000,4000.0000,1.0400,0.6000,0.6000,0.8000,0.3770,700.0000,700.0000,700.0000,1.3800,1.3800,1.8320,1432.0000,1085.0000,1441.9760
18.0000,0.2230,100.0000,21.1800,188.4200,0.1800,267.0000,55.0000,7643.0000,59750.0000,3200.0000,2.3900,0.1900,0.1900,0.3200,0.3100,1350.0000,1350.0000,895.0000,1.7400,1.7400,1.3100,815.0000,445.0000,815.3030
30.3000,0.3000,800.0000,51.8400,800.0000,0.3800,140.0000,23.0000,1650.0000,480.0000,1500.0000,1.1000,24.0000,24.0000,24.0000,0.5510,759.0000,759.0000,75.0000,1.0500,1.0500,1.0500,1441.0000,144.0000,1374.2740
